UF,Estado,Nome IF,Campus / Município,IDHM-2010,Pop. Residente,SMMínimo (em salários mínimos),PIB per capita (R$),Pessoal com ocupação,Núm. de empresas atuantes,Matrícula ensino médio (2012),Matrícula ensino fundamental (2012),Qtd. de cursos técicos,Qtd. de eixos (consolidado por IF sede),Qtd. matriculas em CT,IDEB 2013 (Series finais rede publica),Qtd. de grupos de pesquisa (Valor agregado para o IF .),Projetos PIBID (Valor agregado por IF),Infraestrutura,Especialista,Mestre,Doutores
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Pinheiral,0.715,"22,719",1.6,"9,813.68","3,792",475,967,"3,325",,6,,"4,5",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal Fluminense,Quissamã,0.704,"20,242",3,"193,740.96","3,690",321,835,"3,562",,4,,"3,6",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,São Gonçalo,0.739,"999,728",1.9,"11,488.34","131,437","12,507","26,481","110,310",,2,,"3,4",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Volta Redonda,0.771,"257,803",2.8,"35,126.98","87,366","7,065","11,713","37,158",,2,,"4,3",47,206,4,25.44,48.40,26.16
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Apodi,0.639,"34,763",1.7,"10,809.08","2,730",483,"1,814","4,691",,3,,"3,5",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Caicó,0.710,"62,709",1.6,"9,415.19","11,535","1,491","3,301","8,842",,3,,"3,1",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Currais Novos,0.691,"42,652",1.7,"8,494.87","6,701","1,008","2,357","6,274",,2,,"3,4",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Ipanguaçu,0.603,"13,856",1.5,"5,870.01","2,134",134,"1,245","2,485",,3,,"1,9",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,João Câmara,0.595,"32,227",1.7,"6,289.62","2,782",515,"2,113","6,463",,3,,"2,7",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Macaíba,0.640,"69,467",1.8,"13,547.61","11,375",900,"2,723","11,176",,9,,"3,2",100,634,2,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Macau,0.665,"28,954",1.8,"20,106.75","4,988",639,"1,495","4,617",,2,,"3,1",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Mossoró,0.720,"259,815",2.6,"14,872.20","68,375","5,905","12,334","38,232",,3,,"3,4",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Nova Cruz,0.629,"35,490",1.6,"6,530.46","2,886",405,"1,521","6,895",,3,,"2,7",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Parnamirim,0.766,"202,456",1.9,"13,001.84","43,591","3,814","8,472","29,482",,2,,"3,6",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Pau dos Ferros,0.678,"27,745",1.6,"8,598.08","3,971",790,"1,784","4,370",,2,,"3,6",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Santa Cruz,0.635,"35,797",1.8,"6,013.11","3,618",561,"2,059","6,067",,2,,"2,9",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,São Gonçalo do Amarante,0.665,"43,890",4.1,"29,336.60","8,135",594,"3,183","7,827",,3,,"2,5",100,634,2,40.77,48.04,11.19
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Alegrete,0.740,"77,653",2.1,"15,757.07","13,393","2,042","3,677","10,124",,4,,"3,9",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Bagé,0.740,"116,794",2.6,"12,522.61","23,810","3,373","5,253","16,915",,4,,"3,1",16,227,3,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Bento Gonçalves,0.778,"107,278",3,"30,877.32","52,317","7,517","3,712","12,423",,4,,"4,1",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Camaquã,0.697,"62,764",2.2,"17,889.02","13,432","2,297","2,763","8,682",,4,,"4,1",16,227,2,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Canoas,0.750,"323,827",3.4,"47,711.11","107,061","12,942","11,976","49,108",,3,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Caxias do Sul,0.782,"435,564",3.3,"37,696.92","215,775","25,536","16,360","56,408",,3,,"4,2",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Charqueadas,0.747,"35,320",2.8,"26,714.39","6,637","1,022","1,431","4,776",,5,,"4,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Erechim,0.776,"96,087",2.4,"27,911.36","47,913","5,509","3,959","11,860",,4,,"5,0",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Farroupilha,0.777,"63,635",3.1,"27,555.34","30,210","3,620","2,793","8,111",,3,,"4,3",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Feliz,0.750,"12,359",2.2,"20,176.81","4,553",672,422,"1,417",,4,,"4,9",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Frederico Westphalen,0.760,"28,843",2.1,"21,603.26","9,742","1,538","1,542","3,616",,3,,"5,2",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Ibirubá,0.765,"19,310",2.4,"33,755.69","6,463",865,737,"2,218",,3,,"4,4",37,163,2,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Jaguari,0.712,"11,473",2.1,"14,023.95","2,632",340,360,"1,260",,5,,"4,3",24,246,2,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Júlio de Castilhos,0.716,"19,579",2.1,"27,486.56","3,114",692,843,"2,779",,4,,"4,8",24,246,2,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Osório,0.751,"40,906",2.6,"17,812.44","12,225","1,696","1,927","5,947",,3,,"3,9",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Panambi,0.761,"38,058",2.8,"26,889.47","15,615","1,664","1,512","5,036",,7,,"4,9",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Passo Fundo,0.776,"184,826",2.5,"26,814.25","69,012","9,344","7,333","25,012",,4,,"3,8",16,227,3,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Pelotas,0.739,"328,275",2.6,"16,488.14","90,109","11,342","12,289","43,249",,10,,"3,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Pelotas,0.739,"328,275",2.6,"16,488.14","90,109","11,342","12,289","43,249",,10,,"3,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Porto Alegre,0.805,"1,409,351",4,"32,203.11","875,881","89,032","48,214","177,090",,8,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Porto Alegre,0.805,"1,409,351",4,"32,203.11","875,881","89,032","48,214","177,090",,8,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Rio Grande,0.744,"197,228",3.7,"41,376.38","57,379","5,682","7,116","27,862",,5,,"3,1",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Santa Maria,0.590,"4,762",1.6,"5,161.44",381,42,191,953,,8,,"3,7",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Santa Maria,0.590,"4,762",1.6,"5,161.44",381,42,191,953,,8,,"3,7",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Santa Rosa,0.769,"68,587",2.3,"23,677.41","24,656","2,938","3,260","8,714",,6,,"4,4",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Santana do Livramento,0.727,"82,464",1.9,"12,791.93","14,662","2,773","3,499","11,972",,4,,"3,4",16,227,2,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Santo Augusto,0.739,"13,968",2,"21,579.06","2,800",503,808,"1,730",,5,,"3,9",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,São Borja,0.736,"61,671",2.3,"21,628.79","11,431","1,794","2,647","8,694",,4,,"3,5",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,São Vicente do Sul,0.685,"8,440",2.1,"15,283.50",953,259,556,"1,259",,6,,"3,5",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Sapucaia do Sul,0.726,"130,957",3,"16,467.28","25,618","3,465","4,829","19,386",,6,,"4,0",16,227,5,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Sertão,0.751,"6,294",2.1,"23,475.53",883,220,673,700,,4,,"4,1",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Venâncio Aires,0.712,"65,946",2.3,"29,995.93","18,127","2,642","2,143","8,246",,3,,"4,3",16,227,2,43.54,41.95,14.51
RO,Rondonia,Instituto Federal de Rondonia,Cacoal,0.718,"78,574",2,"16,309.92","16,751","1,838","4,161","12,798",,6,,"4,4",9,160,3,43.48,46.20,10.33
RO,Rondonia,Instituto Federal de Rondonia,Colorado do Oeste,0.685,"18,591",1.7,"13,619.25","2,237",494,"1,148","2,658",,6,,"3,6",9,160,2,43.48,46.20,10.33
RO,Rondonia,Instituto Federal de Rondonia,Ji-Paraná,0.714,"116,610",2.1,"16,752.92","29,197","3,070","5,188","19,486",,8,,"3,8",9,160,2,43.48,46.20,10.33
RO,Rondonia,Instituto Federal de Rondonia,Porto Velho,0.736,"428,527",3.7,"21,784.76","206,468","9,836","16,058","82,969",,7,,"3,2",9,160,3,43.48,46.20,10.33
RO,Rondonia,Instituto Federal de Rondonia,Porto Velho,0.736,"428,527",3.7,"21,784.76","206,468","9,836","16,058","82,969",,7,,"3,2",9,160,3,43.48,46.20,10.33
RO,Rondonia,Instituto Federal de Rondonia,Vilhena,0.731,"76,202",2.1,"18,257.68","19,755","2,576","3,352","12,887",,7,,"4,1",9,160,2,43.48,46.20,10.33
RR,Roraima,Instituto Federal de Roraima,Amajari,0.484,"9,327",0.6,"10,309.41",364,26,227,"1,971",,1,,"3,6",4,166,2,64.62,32.82,2.56
RR,Roraima,Instituto Federal de Roraima,Boa Vista,0.752,"284,313",3.3,"17,552.65","90,507","5,233","14,504","54,096",,7,,"3,6",4,166,4,64.62,32.82,2.56
RR,Roraima,Instituto Federal de Roraima,Caracaraí,0.624,"18,398",1.7,"11,106.55","1,694",229,807,"4,161",,1,,"3,1",4,166,2,64.62,32.82,2.56
SC,Santa Catarina,Instituto Federal Catarinense,Araquari,0.703,"24,810",2.6,"23,012.66","10,022","1,222","1,534","4,215",,4,,"3,6",33,187,2,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Araranguá,0.760,"61,310",2.1,"16,815.40","17,148","2,683","2,807","8,573",,3,,"4,3",50,102,4,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Blumenau,0.806,"309,011",2.8,"32,617.11","158,141","18,922","11,813","38,839",,2,,"4,2",33,187,4,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Caçador,0.735,"70,762",2.3,"24,442.04","24,186","2,306","2,613","11,121",,3,,"3,9",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Camboriú,0.726,"62,361",2.1,"10,593.98","11,890","2,003","3,036","10,104",,5,,"3,6",33,187,4,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Canoinhas,0.757,"52,765",2.2,"18,312.71","13,178","1,951","2,766","7,830",,4,,"4,9",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Chapecó,0.790,"183,530",2.6,"24,179.73","82,307","8,600","7,457","25,789",,2,,"4,2",50,102,4,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Concórdia,0.800,"68,621",2.7,"22,859.93","26,755","3,487","3,286","8,188",,4,,"5,3",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Criciúma,0.788,"192,308",2.5,"21,133.56","76,232","8,940","8,831","24,858",,2,,"3,7",50,102,4,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Florianópolis,0.847,"421,240",4.7,"26,749.29","303,232","25,574","17,270","47,929",,6,,"3,5",50,102,5,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Florianópolis,0.847,"421,240",4.7,"26,749.29","303,232","25,574","17,270","47,929",,6,,"3,5",50,102,5,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Fraiburgo,0.731,"34,553",1.9,"15,782.71","10,423","1,365","1,540","5,764",,2,,"4,8",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Garopaba,0.753,"18,138",2.2,"13,567.69","5,434","1,020",759,"2,612",,3,,"3,3",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Gaspar,0.765,"57,981",2.6,"28,337.19","25,307","3,223","2,341","7,516",,5,,"4,5",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Ibirama,0.737,"17,330",2.1,"16,943.84","6,824",922,685,"2,385",,4,,"4,3",33,187,2,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Itajaí,0.795,"183,373",3,"99,923.47","86,297","10,196","8,050","26,048",,2,,"3,9",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Jaraguá do Sul,0.803,"143,123",3.2,"42,063.97","78,808","7,290","6,175","19,218",,3,,"4,6",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Jaraguá do Sul,0.803,"143,123",3.2,"42,063.97","78,808","7,290","6,175","19,218",,3,,"4,6",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Joinville,0.809,"515,288",3,"36,086.31","223,706","20,119","21,274","69,221",,2,,"4,3",50,102,5,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Lages,0.770,"156,727",2.2,"19,214.26","48,608","5,838","6,263","22,912",,4,,"3,1",50,102,4,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Luzerna,0.789,"5,600",2.2,"19,728.40","1,824",288,359,682,,2,,"4,1",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Palhoça,0.757,"137,334",2.1,"18,327.81","41,156","5,304","4,621","20,179",,2,,"3,3",50,102,4,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Rio do Sul,0.802,"61,198",2.5,"26,355.85","29,963","3,638","2,945","8,113",,4,,"4,2",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal Catarinense,Santa Rosa do Sul,0.705,"8,054",1.9,"10,596.07","1,315",236,865,"1,125",,3,,"4,1",33,187,2,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal Catarinense,São Francisco do Sul,0.762,"42,520",3.9,"100,410.59","12,761","1,719","1,799","6,419",,2,,"3,9",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,São José,0.809,"209,804",2.3,"24,640.32","112,074","10,085","7,815","25,957",,2,,"3,7",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,São Miguel do Oeste,0.801,"36,306",2.3,"19,155.53","13,529","2,022","1,754","4,321",,2,,"4,1",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal de Santa Catarina,Urupema,0.699,"2,482",1.8,"14,035.54",364,68,105,334,,2,,"3,6",50,102,3,39.88,45.04,15.08
SC,Santa Catarina,Instituto Federal Catarinense,Videira,0.764,"47,188",2.4,"24,305.28","21,740","2,258","2,034","6,785",,4,,"4,4",33,187,3,32.27,50.63,17.10
SC,Santa Catarina,Instituto Federal de Santa Catarina,Xanxerê,0.775,"44,128",2.3,"22,971.59","15,358","2,407","2,297","6,035",,2,,"4,2",50,102,4,39.88,45.04,15.08
SP,São Paulo,Instituto Federal de São Paulo,Araraquara,0.815,"208,662",2.8,"24,836.51","86,253","9,439","8,821","25,154",,2,,"4,6",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Avaré,0.767,"82,934",2.1,"16,207.62","22,037","3,195","3,304","11,546",,4,,"4,7",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Barretos,0.789,"112,101",2.4,"19,499.96","36,097","4,183","4,532","13,184",,4,,"4,9",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Birigui,0.780,"108,728",1.9,"17,445.07","43,415","4,772","4,467","13,211",,3,,"5,1",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Boituva,0.780,"48,314",3,"31,532.84","22,140","2,191","2,278","7,268",,3,,"3,0",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Bragança Paulista,0.776,"146,744",2.6,"21,009.59","48,919","5,896","6,737","21,054",,2,,"4,5",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Campos do Jordão,0.749,"47,789",2.2,"13,407.86","14,726","2,292","2,128","7,636",,2,,"4,9",10,541,4,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Capivari,0.750,"48,576",2.3,"25,603.10","16,606","1,728","1,942","6,933",,2,,"4,7",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Caraguatatuba,0.759,"100,840",2.4,"15,117.69","25,044","3,818","5,115","16,073",,4,,"4,9",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Catanduva,0.785,"112,820",2.4,"22,336.65","47,280","5,286","4,926","12,745",,3,,"5,0",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Cubatão,0.737,"118,720",5,"46,415.41","42,484","2,447","5,362","18,429",,2,,"4,0",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Guarulhos,0.763,"1,221,979",3.4,"35,248.49","392,581","31,532","67,506","195,886",,2,,"4,1",10,541,4,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Hortolândia,0.756,"192,692",4.7,"34,232.67","51,514","4,458","10,047","28,937",,3,,"4,5",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Itapetininga,0.763,"144,377",2.2,"20,211.44","36,830","5,069","6,395","22,073",,3,,"4,8",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Matão,0.773,"76,786",2.9,"63,786.64","32,452","3,032","3,365","9,835",,-,,"4,9",10,541,4,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Piracicaba,0.785,"364,571",3.5,"31,486.14","151,587","15,272","16,264","47,846",,2,,"4,5",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Presidente Epitácio,0.750,"41,318",2.1,"12,185.93","8,716","1,859","1,903","5,482",,4,,"4,3",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Registro,0.754,"54,261",2.3,"20,003.38","14,397","1,922","2,910","9,172",,3,,"4,7",10,541,2,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Salto,0.780,"105,516",2.9,"25,524.73","34,941","3,771","4,960","14,544",,2,,"5,0",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,São Carlos,0.805,"221,950",3.3,"24,654.32","87,876","11,011","9,430","27,652",,-,,"5,0",10,541,4,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,São João da Boa Vista,0.797,"83,639",2.6,"25,290.08","27,316","4,127","3,610","9,911",,4,,"4,6",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,São José dos Campos,0.807,"629,921",4.1,"39,587.72","241,007","22,523","30,752","85,839",,1,,"4,7",10,541,4,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,São Paulo,0.805,"11,253,503",4.4,"42,152.76","6,062,016","567,772","504,615","1,531,007",,5,,"4,1",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,São Roque,0.768,"78,821",2.4,"18,755.63","21,398","2,628","3,321","11,811",,3,,"4,0",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Sertãozinho,0.621,"4,395",1.5,"6,420.97",321,38,204,892,,2,,"4,8",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Suzano,0.765,"262,480",3.3,"21,838.49","59,540","6,677","16,168","45,353",,2,,"4,4",10,541,3,27.00,50.80,22.21
SP,São Paulo,Instituto Federal de São Paulo,Votuporanga,0.790,"84,692",2.2,"17,532.49","28,695","3,726","3,591","9,155",,3,,"4,6",10,541,2,27.00,50.80,22.21
SE,Sergipe,Instituto Federal de Sergipe,Aracaju,0.770,"571,149",3.3,"15,913.40","237,905","14,818","25,124","74,896",,10,,"2,7",30,61,3,46.26,48.29,5.45
SE,Sergipe,Instituto Federal de Sergipe,Estância,0.647,"64,409",1.9,"17,470.64","10,293",894,"2,704","12,287",,5,,"1,9",30,61,2,46.26,48.29,5.45
SE,Sergipe,Instituto Federal de Sergipe,Itabaiana,0.613,"24,481",1.5,"5,897.52","2,173",326,903,"4,143",,4,,"2,0",30,61,3,46.26,48.29,5.45
SE,Sergipe,Instituto Federal de Sergipe,Lagarto,0.625,"94,861",1.8,"8,017.94","11,587","1,333","4,454","17,057",,6,,"3,5",30,61,4,46.26,48.29,5.45
SE,Sergipe,Instituto Federal de Sergipe,Nossa Senhora da Glória,0.587,"32,497",1.9,"10,332.37","4,010",465,"1,531","6,925",,3,,"3,0",30,61,2,46.26,48.29,5.45
SE,Sergipe,Instituto Federal de Sergipe,São Cristóvão,0.662,"78,864",2.9,"6,970.57","12,408",868,"2,708","12,132",,6,,"2,2",30,61,2,46.26,48.29,5.45
TO,Tocantins,Instituto Federal de Tocantins,Araguaína,0.752,"150,484",2.1,"13,029.15","30,410","3,583","8,185","25,775",,2,,"3,6",8,367,3,57.14,35.81,7.04
TO,Tocantins,Instituto Federal de Tocantins,Araguatins,0.631,"31,329",1.8,"6,492.52","2,254",345,"1,876","6,487",,3,,"3,8",8,367,3,57.14,35.81,7.04
TO,Tocantins,Instituto Federal de Tocantins,Gurupi,0.759,"76,755",2.1,"15,445.57","17,863","2,348","3,310","12,389",,4,,"4,3",8,367,2,57.14,35.81,7.04
TO,Tocantins,Instituto Federal de Tocantins,Palmas,0.788,"228,332",4.1,"15,878.91","120,860","7,114","12,634","38,782",,8,,"4,1",8,367,3,57.14,35.81,7.04
TO,Tocantins,Instituto Federal de Tocantins,Paraíso do Tocantins,0.764,"44,417",1.8,"14,213.82","9,663","1,296","2,364","7,431",,4,,"3,8",8,367,2,57.14,35.81,7.04
TO,Tocantins,Instituto Federal de Tocantins,Porto Nacional,0.740,"49,146",2.2,"15,161.04","7,634","1,196","2,703","8,861",,3,,"4,0",8,367,2,57.14,35.81,7.04
